,Nom,Long,Lat
159,Karno Nivelles Nord,4.321683487,50.62147068
160,Karno Nivelles Nord,4.32278453,50.61997133
161,Karno Nivelles Nord,4.322863278,50.62004598
162,Karno Nivelles Nord,4.322942025,50.62012062
163,Karno Nivelles Nord,4.323020773,50.62019527
164,Karno Nivelles Nord,4.32309952,50.62026992
165,Karno Nivelles Nord,4.323178268,50.62034457
166,Karno Nivelles Nord,4.323257017,50.62041921
167,Karno Nivelles Nord,4.323184116,50.62047903
168,Karno Nivelles Nord,4.323073759,50.62053518
169,Karno Nivelles Nord,4.322963402,50.62059133
170,Karno Nivelles Nord,4.322853045,50.62064749
171,Karno Nivelles Nord,4.322742687,50.62070364
172,Karno Nivelles Nord,4.32263233,50.62075979
173,Karno Nivelles Nord,4.322521971,50.62081594
174,Karno Nivelles Nord,4.322411613,50.62087209
175,Karno Nivelles Nord,4.322301254,50.62092825
176,Karno Nivelles Nord,4.322190895,50.6209844
177,Karno Nivelles Nord,4.322080536,50.62104055
178,Karno Nivelles Nord,4.321990748,50.6211084
179,Karno Nivelles Nord,4.321915379,50.62118444
180,Karno Nivelles Nord,4.32184001,50.62126049
181,Karno Nivelles Nord,4.321764641,50.62133654
182,Karno Nivelles Nord,4.321689271,50.62141258
183,Karno Nivelles Nord,4.321613901,50.62148863
184,Karno Nivelles Est,4.356181126,50.58716811
185,Karno Nivelles Est,4.356146303,50.58708098
186,Karno Nivelles Est,4.35611148,50.58699386
187,Karno Nivelles Est,4.356076657,50.58690673
188,Karno Nivelles Est,4.356041834,50.58681961
189,Karno Nivelles Est,4.356007011,50.58673248
190,Karno Nivelles Est,4.355972188,50.58664536
191,Karno Nivelles Est,4.355937366,50.58655824
192,Karno Nivelles Est,4.355902543,50.58647111
193,Karno Nivelles Est,4.355867721,50.58638399
194,Karno Nivelles Est,4.355832899,50.58629686
195,Karno Nivelles Est,4.355798077,50.58620974
196,Karno Nivelles Est,4.355763255,50.58612261
197,Karno Nivelles Est,4.355728433,50.58603549
198,Karno Nivelles Est,4.355693611,50.58594836
199,Karno Nivelles Est,4.35565879,50.58586124
200,Karno Nivelles Est,4.355623968,50.58577412
201,Karno Nivelles Est,4.355589147,50.58568699
202,Karno Nivelles Est,4.355554326,50.58559987
203,Karno Nivelles Est,4.355519505,50.58551274
204,Karno Nivelles Est,4.355484684,50.58542562
205,Karno Nivelles Est,4.355449863,50.58533849
206,Karno Nivelles Est,4.355415042,50.58525137
207,Karno Nivelles Est,4.355380222,50.58516424
208,Karno Nivelles Est,4.355345401,50.58507712
209,Karno Nivelles Est,4.355310581,50.58499
210,Karno Nivelles Est,4.355275761,50.58490287
211,Karno Nivelles Est,4.356181126,50.58716811
212,Karno Nivelles Est,4.356320291,50.58715285
213,Karno Nivelles Est,4.356459455,50.58713758
214,Karno Nivelles Est,4.356598619,50.58712232
215,Karno Nivelles Est,4.356181121,50.58718945
216,Karno Nivelles Est,4.356215469,50.58727665
217,Karno Nivelles Est,4.356249818,50.58736385
218,Karno Nivelles Est,4.356284166,50.58745105
219,Karno Nivelles Est,4.356318515,50.58753825
220,Karno Nivelles Est,4.356352863,50.58762545
221,Karno Nivelles Est,4.356387212,50.58771265
222,Karno Nivelles Est,4.356421561,50.58779986
223,Karno Nivelles Est,4.35645591,50.58788706
224,Karno Nivelles Est,4.35649026,50.58797426
225,Karno Nivelles Est,4.356524609,50.58806146
226,Karno Nivelles Est,4.356558958,50.58814866
227,Karno Nivelles Est,4.356593308,50.58823586
228,Karno Nivelles Est,4.356627658,50.58832306
229,Karno Nivelles Est,4.356662008,50.58841026
230,Karno Nivelles Est,4.356696357,50.58849746
231,Karno Nivelles Est,4.356730708,50.58858466
232,Karno Nivelles Est,4.356765058,50.58867186
233,Karno Nivelles Est,4.356799408,50.58875906
234,Karno Nivelles Est,4.356833759,50.58884626
235,Karno Nivelles Est,4.356868109,50.58893346
236,Karno Nivelles Est,4.35690246,50.58902066
237,Karno Nivelles Est,4.356936811,50.58910786
238,Karno Nivelles Est,4.356971162,50.58919506
239,Karno Nivelles Est,4.357005513,50.58928226
240,Karno Nivelles Est,4.357039864,50.58936947
241,Karno Nivelles Est,4.357074216,50.58945667
242,Karno Nivelles Est,4.357108567,50.58954387
243,Karno Nivelles Est,4.357142919,50.58963107
244,Karno Nivelles Est,4.357177271,50.58971827
245,Karno Nivelles Est,4.357211622,50.58980547
246,Karno Nivelles Est,4.357245974,50.58989267
247,Karno Nivelles Est,4.357280327,50.58997987
248,Karno Nivelles Est,4.357343748,50.59002567
249,Karno Nivelles Est,4.357468728,50.58998381
250,Karno Nivelles Est,4.357593707,50.58994195
251,Karno Nivelles Est,4.357718686,50.58990009
252,Karno Nivelles Est,4.357843665,50.58985823
253,Karno Nivelles Est,4.357968644,50.58981637
254,Karno Nivelles Est,4.358093622,50.58977451
255,Karno Nivelles Est,4.3582186,50.58973265
256,Karno Nivelles Est,4.358343578,50.58969079
257,Karno Nivelles Est,4.358468556,50.58964893
258,Karno Nivelles Est,4.358593534,50.58960707
259,Karno Nivelles Est,4.358718511,50.58956521
260,Karno Nivelles Est,4.358843488,50.58952335
261,Karno Nivelles Est,4.358968465,50.58948149
262,Karno Nivelles Est,4.359093442,50.58943963
263,Karno Nivelles Est,4.359218418,50.58939777
264,Karno Nivelles Est,4.359343394,50.5893559
265,Karno Nivelles Est,4.35946837,50.58931404
266,Karno Nivelles Est,4.359593346,50.58927218
267,Karno Nivelles Est,4.359718322,50.58923032
268,Karno Nivelles Est,4.359843297,50.58918846
269,Karno Nivelles Est,4.359968272,50.58914659
270,Karno Nivelles Est,4.360093247,50.58910473
271,Karno Nivelles Est,4.360218222,50.58906287
272,Karno Nivelles Est,4.360343196,50.58902101
273,Karno Nivelles Est,4.36046817,50.58897914
274,Karno Nivelles Est,4.360593144,50.58893728
275,Karno Nivelles Est,4.360718118,50.58889542
276,Karno Nivelles Est,4.360843092,50.58885356
277,Karno Nivelles Est,4.360968065,50.58881169
278,Karno Nivelles Est,4.361093038,50.58876983
279,Karno Nivelles Est,4.361218011,50.58872797
280,Karno Nivelles Est,4.361342984,50.5886861
281,Karno Nivelles Est,4.361467956,50.58864424
282,Karno Nivelles Est,4.361592929,50.58860237
283,Karno Nivelles Est,4.361717901,50.58856051
284,Karno Nivelles Est,4.361842872,50.58851865
285,Karno Nivelles Est,4.361967844,50.58847678
286,Karno Nivelles Est,4.362092815,50.58843492
287,Karno Nivelles Est,4.362217786,50.58839305
288,Karno Nivelles Est,4.362342757,50.58835119
289,Karno Nivelles Est,4.362467728,50.58830932
290,Karno Nivelles Est,4.362592699,50.58826746
291,Karno Nivelles Est,4.362717669,50.58822559
292,Karno Nivelles Est,4.362842639,50.58818373
293,Karno Nivelles Est,4.362967609,50.58814186
294,Karno Nivelles Est,4.363092578,50.5881
295,Karno Nivelles Est,4.363217548,50.58805813
296,Karno Nivelles Est,4.363342517,50.58801627
297,Karno Nivelles Est,4.363467486,50.5879744
298,Karno Nivelles Est,4.363592454,50.58793253
299,Karno Nivelles Est,4.363717423,50.58789067
300,Karno Nivelles Est,4.363842391,50.5878488
301,Karno Nivelles Est,4.363967359,50.58780693
302,Karno Nivelles Est,4.355343165,50.58628221
303,Karno Nivelles Est,4.355481241,50.58626336
304,Karno Nivelles Est,4.355619316,50.58624452
305,Karno Nivelles Est,4.35575739,50.58622568
306,Karno Nivelles Est,4.355091942,50.58543906
307,Karno Nivelles Est,4.355229316,50.58541825
308,Karno Nivelles Est,4.35536669,50.58539744
309,Karno Nivelles Est,4.355250043,50.58485832
310,Karno Nivelles Est,4.355386238,50.58483458
311,Karno Nivelles Est,4.355522432,50.58481084
312,Karno Nivelles Est,4.364022547,50.58777881
313,Karno Nivelles Est,4.363948759,50.58770216
314,Karno Nivelles Est,4.363874972,50.58762551
315,Karno Nivelles Est,4.363801186,50.58754885
316,Karno Nivelles Est,4.363727399,50.5874722
317,Karno Nivelles Est,4.356376116,50.58757683
318,Karno Nivelles Est,4.35651238,50.58755324
319,Karno Nivelles Est,4.356648643,50.58752964
320,Karno Nivelles Est,4.356784907,50.58750604
321,Karno Nivelles Est,4.35692117,50.58748244
322,Karno Nivelles Est,4.357057433,50.58745885
323,Karno Nivelles Est,4.357193696,50.58743525
324,Karno Nivelles Est,4.357329959,50.58741165
325,Karno Nivelles Est,4.357466222,50.58738805
326,Karno Nivelles Est,4.357602484,50.58736445
327,Karno Nivelles Est,4.357738747,50.58734086
328,Karno Nivelles Est,4.357875009,50.58731726
329,Karno Nivelles Est,4.358011271,50.58729366
330,Karno Nivelles Est,4.358147533,50.58727006
331,Karno Nivelles Est,4.358283795,50.58724646
332,Karno Nivelles Est,4.358420057,50.58722286
333,Karno Nivelles Est,4.358556318,50.58719926
334,Karno Nivelles Est,4.35869258,50.58717566
335,Karno Nivelles Est,4.358828841,50.58715206
336,Karno Nivelles Est,4.358965102,50.58712846
337,Karno Nivelles Est,4.359101363,50.58710486
338,Karno Nivelles Est,4.359237624,50.58708126
339,Karno Nivelles Est,4.359318007,50.58703783
340,Karno Nivelles Est,4.359277905,50.58695163
341,Karno Nivelles Est,4.359237805,50.58686543
342,Karno Nivelles Est,4.359197704,50.58677923
343,Karno Nivelles Est,4.359157603,50.58669303
344,Karno Nivelles Est,4.359117503,50.58660683
345,Karno Nivelles Est,4.359095545,50.58657386
346,Karno Nivelles Est,4.359225346,50.58653846
347,Karno Nivelles Est,4.359355147,50.58650306
348,Karno Fleurus,4.569044153,50.48782009
349,Karno Fleurus,4.568914732,50.48778452
350,Karno Fleurus,4.568785311,50.48774896
351,Karno Fleurus,4.56865589,50.48771339
352,Karno Fleurus,4.568526469,50.48767783
353,Karno Fleurus,4.568397049,50.48764226
354,Karno Fleurus,4.568267628,50.48760669
355,Karno Fleurus,4.568138208,50.48757112
356,Karno Fleurus,4.568003297,50.48754648
357,Karno Fleurus,4.567865591,50.4875274
358,Karno Fleurus,4.567727884,50.48750832
359,Karno Fleurus,4.567590178,50.48748924
360,Karno Fleurus,4.567452472,50.48747016
361,Karno Fleurus,4.567314766,50.48745108
362,Karno Fleurus,4.567176605,50.487434
363,Karno Fleurus,4.567036076,50.48742734
364,Karno Fleurus,4.566895546,50.48742069
365,Karno Fleurus,4.566755016,50.48741403
366,Karno Fleurus,4.566614486,50.48740738
367,Karno Fleurus,4.566473957,50.48740072
368,Karno Fleurus,4.566333427,50.48739407
369,Karno Fleurus,4.566192856,50.48738779
370,Karno Fleurus,4.566052248,50.48738185
371,Karno Fleurus,4.56591164,50.4873759
372,Karno Fleurus,4.565771033,50.48736995
373,Karno Fleurus,4.565639707,50.48739885
374,Karno Fleurus,4.565510074,50.4874341
375,Karno Fleurus,4.565380441,50.48746935
376,Karno Fleurus,4.565249464,50.48748859
377,Karno Fleurus,4.565114669,50.48746238
378,Karno Fleurus,4.564979875,50.48743617
379,Karno Fleurus,4.56484508,50.48740996
380,Karno Fleurus,4.564705793,50.4873985
381,Karno Fleurus,4.564565422,50.4873906
382,Karno Fleurus,4.564425051,50.4873827
383,Karno Fleurus,4.564285831,50.4873966
384,Karno Fleurus,4.56414661,50.48741051
385,Karno Fleurus,4.564007389,50.48742441
386,Karno Fleurus,4.5638715,50.48744727
387,Karno Fleurus,4.56373733,50.48747476
388,Karno Fleurus,4.56360316,50.48750224
389,Karno Fleurus,4.563468222,50.48752813
390,Karno Fleurus,4.563332997,50.48755342
391,Karno Fleurus,4.563197772,50.48757872
392,Karno Fleurus,4.563062547,50.48760401
393,Karno Fleurus,4.562924258,50.48761948
394,Karno Fleurus,4.562784154,50.48762912
395,Karno Fleurus,4.562644286,50.48763985
396,Karno Fleurus,4.562505347,50.48765486
397,Karno Fleurus,4.562366409,50.48766987
398,Karno Fleurus,4.56222747,50.48768489
399,Karno Fleurus,4.562088435,50.48769952
400,Karno Fleurus,4.561949213,50.48771342
401,Karno Fleurus,4.561809991,50.48772733
402,Karno Fleurus,4.561670768,50.48774123
403,Karno Fleurus,4.561529991,50.48774522
404,Karno Fleurus,4.561389212,50.4877492
405,Karno Fleurus,4.561248432,50.48775317
406,Karno Fleurus,4.56110884,50.48776532
407,Karno Fleurus,4.560969314,50.48777792
408,Karno Fleurus,4.560829787,50.48779052
409,Karno Fleurus,4.56069026,50.48780312
410,Karno Fleurus,4.56055037,50.48781348
411,Karno Fleurus,4.56040975,50.48781932
412,Karno Fleurus,4.560269874,50.48782871
413,Karno Fleurus,4.560131764,50.48784657
414,Karno Fleurus,4.559993233,50.48786292
415,Karno Fleurus,4.559853929,50.48787648
416,Karno Fleurus,4.559714625,50.48789005
417,Karno Fleurus,4.559576569,50.48790793
418,Karno Fleurus,4.559438856,50.48792699
419,Karno Fleurus,4.559301143,50.48794606
420,Karno Fleurus,4.559163177,50.48796035
421,Karno Fleurus,4.559023765,50.48794724
422,Karno Fleurus,4.558884353,50.48793413
423,Karno Fleurus,4.558744357,50.48792424
424,Karno Fleurus,4.558603938,50.48791669
425,Karno Fleurus,4.558463519,50.48790913
426,Karno Fleurus,4.558323897,50.48789737
427,Karno Fleurus,4.558184708,50.48788333
428,Karno Fleurus,4.558045518,50.48786929
429,Karno Fleurus,4.557906329,50.48785526
430,Karno Fleurus,4.55776714,50.48784122
431,Karno Fleurus,4.557627952,50.48782718
432,Karno Fleurus,4.557488763,50.48781314
433,Karno Fleurus,4.557349539,50.48779924
434,Karno Fleurus,4.557210272,50.48778552
435,Karno Fleurus,4.557071005,50.4877718
436,Karno Fleurus,4.556931739,50.48775808
437,Karno Fleurus,4.556792472,50.48774436
438,Karno Fleurus,4.556653205,50.48773064
439,Karno Fleurus,4.556513939,50.48771692
440,Karno Fleurus,4.556374672,50.4877032
441,Karno Fleurus,4.556235406,50.48768948
442,Karno Fleurus,4.55609614,50.48767576
443,Karno Fleurus,4.555956873,50.48766204
444,Karno Fleurus,4.555817607,50.48764832
445,Karno Fleurus,4.555678341,50.4876346
446,Karno Fleurus,4.555539075,50.48762087
447,Karno Fleurus,4.555399809,50.48760715
448,Karno Fleurus,4.555260544,50.48759343
449,Karno Fleurus,4.555121275,50.48757972
450,Karno Fleurus,4.554982006,50.48756601
451,Karno Fleurus,4.554842737,50.4875523
452,Karno Fleurus,4.554703468,50.4875386
453,Karno Fleurus,4.554564199,50.48752489
454,Karno Fleurus,4.55442493,50.48751118
455,Karno Fleurus,4.554285662,50.48749747
456,Karno Fleurus,4.554146393,50.48748376
457,Karno Fleurus,4.554007125,50.48747005
458,Karno Fleurus,4.553867856,50.48745634
459,Karno Fleurus,4.553728588,50.48744263
460,Karno Fleurus,4.55358932,50.48742892
461,Karno Fleurus,4.553450052,50.48741521
462,Karno Fleurus,4.553309686,50.48741621
463,Karno Fleurus,4.553169007,50.48742142
464,Karno Fleurus,4.553028327,50.48742663
465,Karno Fleurus,4.552887648,50.48743184
466,Karno Fleurus,4.552746921,50.48743606
467,Karno Fleurus,4.552606005,50.48743629
468,Karno Fleurus,4.552465089,50.48743651
469,Karno Fleurus,4.552324173,50.48743673
470,Karno Fleurus,4.552183257,50.48743696
471,Karno Fleurus,4.552042341,50.48743718
472,Karno Fleurus,4.551901425,50.4874374
473,Karno Fleurus,4.551760509,50.48743763
474,Karno Fleurus,4.551619593,50.48743785
475,Karno Fleurus,4.551478677,50.48743807
476,Karno Fleurus,4.551337761,50.48743829
477,Karno Fleurus,4.551196845,50.48743851
478,Karno Fleurus,4.551055929,50.48743873
479,Karno Fleurus,4.551015348,50.48743799
480,Karno Fleurus,4.550874589,50.48744224
481,Karno Fleurus,4.55073383,50.48744649
482,Karno Fleurus,4.550593071,50.48745074
483,Karno Fleurus,4.550452312,50.48745499
484,Karno Fleurus,4.550311553,50.48745924
485,Karno Fleurus,4.550170794,50.48746349
486,Karno Fleurus,4.550030035,50.48746774
487,Karno Fleurus,4.549889276,50.48747199
488,Karno Fleurus,4.549748517,50.48747624
489,Karno Fleurus,4.549607758,50.48748048
490,Karno Fleurus,4.549466999,50.48748473
491,Karno Fleurus,4.54932624,50.48748898
492,Karno Fleurus,4.549218012,50.48747276
493,Karno Fleurus,4.549240066,50.48738397
494,Karno Fleurus,4.54926212,50.48729517
495,Karno Fleurus,4.549284174,50.48720638
496,Karno Fleurus,4.549306227,50.48711758
497,Karno Fleurus,4.549328281,50.48702879
498,Karno Fleurus,4.549350335,50.48693999
499,Karno Fleurus,4.549372388,50.4868512
500,Karno Fleurus,4.549394442,50.48676241
501,Karno Fleurus,4.549416495,50.48667361
502,Karno Fleurus,4.549468578,50.48660265
503,Karno Fleurus,4.549433355,50.48651601
504,Karno Fleurus,4.549411272,50.48642766
505,Karno Fleurus,4.549424445,50.48633861
506,Karno Fleurus,4.54945874,50.48625141
507,Karno Fleurus,4.549493035,50.48616421
508,Karno Fleurus,4.549569017,50.48608931
509,Karno Fleurus,4.549650979,50.48601618
510,Karno Fleurus,4.549669588,50.4859519
511,Karno Fleurus,4.54954722,50.48590733
512,Karno Fleurus,4.549424852,50.48586275
513,Karno Fleurus,4.549302485,50.48581817
514,Karno Fleurus,4.549170485,50.48579782
515,Karno Fleurus,4.549029607,50.4857998
516,Karno Fleurus,4.54888873,50.48580178
517,Karno Fleurus,4.548778513,50.48580196
518,Karno Fleurus,4.548637604,50.48580254
519,Karno Fleurus,4.548496696,50.48580312
520,Karno Fleurus,4.548355787,50.4858037
521,Karno Fleurus,4.548214879,50.48580428
522,Karno Fleurus,4.54807397,50.48580487
523,Karno Fleurus,4.547933061,50.48580545
524,Karno Fleurus,4.547792153,50.48580603
525,Karno Fleurus,4.547651244,50.48580661
526,Karno Fleurus,4.547619403,50.48573055
527,Karno Fleurus,4.547606751,50.48564102
528,Karno Fleurus,4.547594098,50.48555148
529,Karno Fleurus,4.547581445,50.48546194
530,Karno Fleurus,4.547568793,50.4853724
531,Karno Fleurus,4.54755614,50.48528286
532,Karno Fleurus,4.547543488,50.48519332
533,Karno Fleurus,4.547530835,50.48510378
534,Karno Fleurus,4.547591691,50.48504598
535,Karno Fleurus,4.54772668,50.4850202
536,Karno Fleurus,4.54786167,50.48499441
537,Karno Fleurus,4.547996659,50.48496863
538,Karno Fleurus,4.548131648,50.48494284
539,Karno Fleurus,4.548266637,50.48491706
540,Karno Fleurus,4.548401626,50.48489127
541,Karno Fleurus,4.548536615,50.48486549
542,Karno Fleurus,4.548671603,50.4848397
543,Karno Fleurus,4.548806592,50.48481392
544,Karno Fleurus,4.54894158,50.48478813
545,Karno Fleurus,4.549076568,50.48476235
546,Karno Fleurus,4.549209353,50.48473585
547,Karno Fleurus,4.549161276,50.48465135
548,Karno Fleurus,4.549113199,50.48456684
549,Karno Fleurus,4.549065123,50.48448233
550,Karno Fleurus,4.549017046,50.48439782
551,Karno Fleurus,4.54896897,50.48431332
552,Karno Fleurus,4.548920894,50.48422881
553,Karno Fleurus,4.548872819,50.4841443
554,Karno Fleurus,4.548824743,50.48405979
555,Karno Fleurus,4.548776667,50.48397528
556,Karno Fleurus,4.548800147,50.48391326
557,Karno Fleurus,4.548934455,50.48388608
558,Karno Fleurus,4.549068762,50.48385889
559,Karno Fleurus,4.54920307,50.4838317
560,Karno Fleurus,4.549337377,50.48380451
561,Karno Fleurus,4.549312993,50.48372923
562,Karno Fleurus,4.549333526,50.4836676
563,Karno Fleurus,4.549467885,50.48364052
